District,Place,Category
Kathmandu,Pashupatinath Temple,Religious & Historical Sites
Kathmandu,Swayambhunath Stupa,Religious & Historical Sites
Kathmandu,Kathmandu Durbar Square,Religious & Historical Sites
Bhaktapur,Bhaktapur Durbar Square,Religious & Historical Sites
Bhaktapur,Nyatapola Temple,Religious & Historical Sites
Lalitpur,Patan Durbar Square,Religious & Historical Sites
Lalitpur,Golden Temple,Religious & Historical Sites
Kirtipur,Bagh Bhairab Temple,Religious & Historical Sites
Kirtipur,Chilancho Stupa,Religious & Historical Sites
Lumbini,Maya Devi Temple,Religious & Historical Sites
Lumbini,Ashoka Pillar,Religious & Historical Sites
Gorkha,Gorkha Durbar,Religious & Historical Sites
Gorkha,Manakamana Temple,Religious & Historical Sites
Janakpur,Janaki Mandir,Religious & Historical Sites
Janakpur,Ram Mandir,Religious & Historical Sites
Mustang,Muktinath Temple,Religious & Historical Sites
Mustang,Kagbeni Monastery,Religious & Historical Sites
Dolakha,Dolakha Bhimsen Temple,Religious & Historical Sites
Ilam,Pathibhara Temple,Religious & Historical Sites
Ilam,Mai Pokhari,Religious & Historical Sites
Dharan,Buddhasubba Temple,Religious & Historical Sites
Dharan,Pindeshwor Temple,Religious & Historical Sites
Solukhumbu,Everest Base Camp,Adventure & Trekking Destinations
Solukhumbu,Namche Bazaar,Adventure & Trekking Destinations
Annapurna Region,Annapurna Base Camp,Adventure & Trekking Destinations
Annapurna Region,Ghorepani Poon Hill,Adventure & Trekking Destinations
Rasuwa,Langtang Valley Trek,Adventure & Trekking Destinations
Rasuwa,Gosaikunda Lake,Adventure & Trekking Destinations
Dolpa,Shey Phoksundo Lake,Adventure & Trekking Destinations
Dolpa,Dolpo Trek,Adventure & Trekking Destinations
Manang,Tilicho Lake,Adventure & Trekking Destinations
Manang,Thorong La Pass,Adventure & Trekking Destinations
Taplejung,Kanchenjunga Base Camp Trek,Adventure & Trekking Destinations
Darchula,Api Base Camp Trek,Adventure & Trekking Destinations
Humla,Limi Valley Trek,Adventure & Trekking Destinations
Bajhang,Saipal Base Camp Trek,Adventure & Trekking Destinations
Mugu,Rara Lake Trek,Adventure & Trekking Destinations
Chitwan,Chitwan National Park,Wildlife & Nature Reserves
Chitwan,Rapti River Safari,Wildlife & Nature Reserves
Bardia,Bardia National Park,Wildlife & Nature Reserves
Bardia,Karnali River Safari,Wildlife & Nature Reserves
Sunsari,Koshi Tappu Wildlife Reserve,Wildlife & Nature Reserves
Sankhuwasabha,Makalu Barun National Park,Wildlife & Nature Reserves
Parsa,Parsa Wildlife Reserve,Wildlife & Nature Reserves
Rupandehi,Jagdishpur Reservoir,Wildlife & Nature Reserves
Kanchanpur,Shuklaphanta National Park,Wildlife & Nature Reserves
Kalikot,Rara National Park,Wildlife & Nature Reserves
Jumla,Sinja Valley,Remote & Unique Locations
Jumla,Tila River,Remote & Unique Locations
Bajura,Badimalika Temple,Remote & Unique Locations
Salyan,Kupinde Lake,Remote & Unique Locations
Achham,Ramaroshan,Remote & Unique Locations
Doti,Shaileshwori Temple,Remote & Unique Locations
Dadeldhura,Ugratara Temple,Remote & Unique Locations
Rukum,Syarpu Lake,Remote & Unique Locations
Rukum,Guerrilla Trek,Remote & Unique Locations
Rolpa,Jaljala Trek,Remote & Unique Locations
Panchthar,Timbung Pokhari,Remote & Unique Locations
Kavrepalanchok,Namobuddha,Remote & Unique Locations
Kavrepalanchok,Panauti,Remote & Unique Locations
Sindhuli,Sindhuli Gadhi,Remote & Unique Locations
Arghakhanchi,Supa Deurali Temple,Remote & Unique Locations
